Service,Internal_COGS_IQD,Internal_COGS_USD,Sell_Price_USD,Margin_pct,Notes
FX_USD_IQD,1400,,,,"Assumed FX (Foreign Exchange — سعر الصرف) = 1400 IQD per 1 USD; adjust and recompute margins"
Reels 30–45s,50000,35.71,120,70.3%,"Internal approx 50k IQD; target margin ≥45%"
Product Photo (edited),10000,7.14,15,52.4%,"Standard product shot; unify internal photo cost 10k IQD"
Studio Day (6–8h),189000,135.00,260,48.1%,"Internal day rate range 120–150 USD; mid = 135"
Advanced/Location Day,336000,240.00,420,42.9%,"Complex/location/models; adjust per scope"
Light Motion/Reel,56000,40.00,100,60.0%,"Light motion graphics or simple reel"
Reel Editing (client footage),28000,20.00,60,66.7%,"Edit only; two review rounds included"
Monthly Basic Package,0,600.00,1200,50.0%,"Retainer; excludes paid media budget; Mgmt 12% (Min $350 Basic/Growth; $500 Pro)"
Monthly Growth Package,0,900.00,1800,50.0%,"Retainer; excludes paid media budget; Mgmt 12% (Min $350 Basic/Growth; $500 Pro)"
Monthly Pro Package,0,1250.00,2500,50.0%,"Retainer; excludes paid media budget; Mgmt 12% (Min $350 Basic/Growth; $500 Pro)"
Internal Discount (five brands),,,-20%,,"Default 20% (range 15–25%) with revenue/cost-center proof"
